,_ID,TimeSt,Country,Province,City,Latitude,Longitude,distance_nearest,nearest_poi
4367,4735001,2017-06-21 01:14:11.833,CA,ON,Markham,43.8747,-79.2599,5.927275852735136,POI3
4370,4735188,2017-06-21 12:14:12.073,CA,AB,Edmonton,53.4601,-113.499,0.08708338099201747,POI1
4372,4735213,2017-06-21 01:14:13.600,CA,AB,Edmonton,53.44217,-113.4452,0.11161711860195131,POI1
4373,4735244,2017-06-21 22:14:11.907,CA,SK,Saskatoon,52.1202,-106.669,6.964283474403175,POI1
4375,4735297,2017-06-21 14:14:11.983,CA,ON,Toronto,43.6641,-79.399,6.121602976542747,POI3
4378,4735524,2017-06-21 21:14:13.513,CA,NS,Upper Tantallon,44.70286,-63.856,0.8129695076329679,POI4
4380,4735559,2017-06-21 20:14:15.347,CA,AB,Stony Plain,53.50646,-113.99078999999999,0.506614457931258,POI1
4381,4735589,2017-06-21 16:14:16.500,CA,AB,Edmonton,53.4104,-113.517,0.13932064113044987,POI1
4382,4735671,2017-06-21 19:14:16.680,CA,AB,Fort Mcmurray,56.7377,-111.438,3.791978035912784,POI1
4383,4735714,2017-06-21 21:14:18.790,CA,QC,Montréal,45.5679,-73.6277,0.07710340081346023,POI3
4384,4735785,2017-06-21 09:14:17.557,CA,AB,Spruce Grove,53.5334,-113.9187,0.4331541913048912,POI1
4385,4735880,2017-06-21 08:14:18.343,CA,ON,Mississauga,43.5634,-79.6509,6.392212195462297,POI3
4386,4735882,2017-06-21 19:14:14.810,CA,AB,Spruce Grove,53.54628,-113.88183000000001,0.3960960161185669,POI1
4387,4735964,2017-06-21 06:14:15.387,CA,BC,Vancouver,49.2604,-123.141,10.563709590340176,POI1
4388,4736048,2017-06-21 17:14:17.417,CA,AB,Spruce Grove,53.5533,-113.895,0.4093281549624827,POI1
4389,4736096,2017-06-21 09:14:17.570,CA,ON,Richmond Hill,43.8939,-79.4375,6.0929247587687305,POI3
4390,4736178,2017-06-21 05:14:17.917,CA,AB,Edmonton,53.44217,-113.4452,0.11161711860195131,POI1
4391,4736238,2017-06-21 04:14:20.120,CA,ON,Charlton Station,47.5776,-80.2036,6.94870001573078,POI3
4392,4736277,2017-06-21 08:14:20.137,CA,ON,Mississauga,43.5769,-79.6283,6.366565886222881,POI3
4394,4736440,2017-06-21 11:14:22.093,CA,ON,Oshawa,43.94982,-78.86354,5.525781329616383,POI3
4396,4736460,2017-06-21 02:14:22.197,CA,ON,Etobicoke,43.6227,-79.52583,6.2550154999549745,POI3
4397,4736528,2017-06-21 20:14:20.157,CA,AB,Coaldale,49.7257,-112.618,3.9177711001084567,POI1
4398,4736600,2017-06-21 06:14:20.207,CA,AB,Lethbridge,49.6836,-112.834,3.9171649232889147,POI1
4399,4736631,2017-06-21 06:14:20.250,CA,AB,Calgary,51.16041,-114.057,2.4531981790725794,POI1
4401,4736676,2017-06-21 13:14:21.007,CA,AB,Calgary,51.05574,-113.95685,2.5345960087921338,POI1
4402,4736711,2017-06-21 16:14:21.260,CA,ON,Toronto,43.772,-79.413,6.103140993145822,POI3
4404,4736857,2017-06-21 19:14:22.113,CA,ON,Bradford,44.1179,-79.6007,6.195786433570564,POI3
4405,4736955,2017-06-21 17:14:22.217,CA,ON,Barrie,44.4015,-79.6782,6.213966883691694,POI3
4406,4736988,2017-06-21 20:14:23.737,CA,AB,Saint Albert,53.6415,-113.614,0.1598141033982872,POI1
4407,4737069,2017-06-21 04:14:19.837,CA,AB,Edmonton,53.521,-113.5324,0.05301974580285172,POI1
4408,4737143,2017-06-21 07:14:21.227,CA,AB,Calgary,50.93674,-114.01066000000002,2.6617018191008976,POI1
4409,4737205,2017-06-21 10:14:21.750,CA,ON,Markham,43.8436,-79.2741,5.949614520842258,POI3
4410,4737303,2017-06-21 21:14:22.107,CA,ON,Mississauga,43.5873,-79.6076,6.343679472042788,POI3
